Year,ending,Exclusion,text,number
2012-13,2013,Permanent,"4,630",4630
2013-14,2014,Permanent,"4,950",4950
2014-15,2015,Permanent,"5,795",5795
2015-16,2016,Permanent,"6,685",6685
2016-17,2017,Permanent,"7,720",7720
2012-13,2013,Fixed,"267,520",267520
2013-14,2014,Fixed,"269,475",269475
2014-15,2015,Fixed,"302,975",302975
2015-16,2016,Fixed,"339,360",339360
2016-17,2017,Fixed,"381,865",381865
2012-13,2013,Pupils,"146,070",146070
2013-14,2014,Pupils,"142,845",142845
2014-15,2015,Pupils,"154,060",154060
2015-16,2016,Pupils,"167,125",167125
2016-17,2017,Pupils,"183,475",183475
